CD_MUN,NM_MUN,total_dom,sem_energia,pct_sem_energia,com_energia
1300029,Alvarães,3386.0,1168.0,34.49,2218.0
1300060,Amaturá,2137.0,656.0,30.7,1481.0
1300086,Anamã,2312.0,702.0,30.36,1610.0
1300102,Anori,4139.0,901.0,21.77,3238.0
1300144,Apuí,5779.0,997.0,17.25,4782.0
1300201,Atalaia do Norte,3361.0,1571.0,46.74,1790.0
1300300,Autazes,10849.0,2421.0,22.32,8428.0
1300409,Barcelos,4150.0,1705.0,41.08,2445.0
1300508,Barreirinha,6781.0,1743.0,25.7,5038.0
1300607,Benjamin Constant,7731.0,1489.0,19.26,6242.0
1300631,Beruri,4518.0,1668.0,36.92,2850.0
1300680,Boa Vista do Ramos,4587.0,1369.0,29.85,3218.0
1300706,Boca do Acre,10067.0,3102.0,30.81,6965.0
1300805,Borba,7870.0,1801.0,22.88,6069.0
1300839,Caapiranga,2964.0,910.0,30.7,2054.0
1300904,Canutama,4516.0,1295.0,28.68,3221.0
1301001,Carauari,7230.0,1590.0,21.99,5640.0
1301100,Careiro,9045.0,1867.0,20.64,7178.0
1301159,Careiro da Várzea,5762.0,1606.0,27.87,4156.0
1301209,Coari,17528.0,3096.0,17.66,14432.0
1301308,Codajás,5568.0,1180.0,21.19,4388.0
1301407,Eirunepé,8086.0,2434.0,30.1,5652.0
1301506,Envira,4172.0,1391.0,33.34,2781.0
1301605,Fonte Boa,5305.0,1599.0,30.14,3706.0
1301654,Guajará,3611.0,956.0,26.47,2655.0
1301704,Humaitá,14390.0,2123.0,14.75,12267.0
1301803,Ipixuna,4789.0,1972.0,41.18,2817.0
1301852,Iranduba,17751.0,1438.0,8.1,16313.0
1301902,Itacoatiara,27619.0,3563.0,12.9,24056.0
1301951,Itamarati,2328.0,905.0,38.87,1423.0
1302009,Itapiranga,2599.0,357.0,13.74,2242.0
1302108,Japurá,1723.0,688.0,39.93,1035.0
1302207,Juruá,2515.0,639.0,25.41,1876.0
1302306,Jutaí,4815.0,1836.0,38.13,2979.0
1302405,Lábrea,11185.0,3720.0,33.26,7465.0
1302504,Manacapuru,26864.0,3194.0,11.89,23670.0
1302553,Manaquiri,4877.0,1672.0,34.28,3205.0
1302603,Manaus,630012.0,14268.0,2.26,615744.0
1302702,Manicoré,12081.0,3455.0,28.6,8626.0
1302801,Maraã,3000.0,1212.0,40.4,1788.0
1302900,Maués,13242.0,3140.0,23.71,10102.0
1303007,Nhamundá,4548.0,1530.0,33.64,3018.0
1303106,Nova Olinda do Norte,6467.0,1988.0,30.74,4479.0
1303205,Novo Airão,4129.0,465.0,11.26,3664.0
1303304,Novo Aripuanã,4768.0,1249.0,26.2,3519.0
1303403,Parintins,23896.0,2198.0,9.2,21698.0
1303502,Pauini,3883.0,1565.0,40.3,2318.0
1303536,Presidente Figueiredo,9354.0,1211.0,12.95,8143.0
1303569,Rio Preto da Eva,7791.0,1191.0,15.29,6600.0
1303601,Santa Isabel do Rio Negro,2670.0,1266.0,47.42,1404.0
1303700,Santo Antônio do Içá,5177.0,1225.0,23.66,3952.0
1303809,São Gabriel da Cachoeira,10201.0,4855.0,47.59,5346.0
1303908,São Paulo de Olivença,5962.0,1379.0,23.13,4583.0
1303957,São Sebastião do Uatumã,2662.0,425.0,15.97,2237.0
1304005,Silves,2820.0,682.0,24.18,2138.0
1304062,Tabatinga,13821.0,1525.0,11.03,12296.0
1304104,Tapauá,4736.0,1861.0,39.29,2875.0
1304203,Tefé,17447.0,2614.0,14.98,14833.0
1304237,Tonantins,3348.0,1031.0,30.79,2317.0
1304260,Uarini,3042.0,946.0,31.1,2096.0
1304302,Urucará,4267.0,758.0,17.76,3509.0
1304401,Urucurituba,5202.0,1089.0,20.93,4113.0
