CD_MUN,NM_MUN,SITUACAO,total_dom,pct_sem_energia,sem_energia
1300029,Alvarães,Rural,1508.0,57.4,866.0
1300029,Alvarães,Urbana,1878.0,16.1,302.0
1300060,Amaturá,Rural,545.0,64.3,350.0
1300060,Amaturá,Urbana,1592.0,19.2,306.0
1300086,Anamã,Rural,1192.0,47.8,570.0
1300086,Anamã,Urbana,1120.0,11.8,132.0
1300102,Anori,Rural,1374.0,44.6,613.0
1300102,Anori,Urbana,2765.0,10.4,288.0
1300144,Apuí,Rural,2386.0,31.7,756.0
1300144,Apuí,Urbana,3393.0,7.1,241.0
1300201,Atalaia do Norte,Rural,1668.0,70.2,1171.0
1300201,Atalaia do Norte,Urbana,1693.0,23.6,400.0
1300300,Autazes,Rural,5804.0,33.8,1962.0
1300300,Autazes,Urbana,5045.0,9.1,459.0
1300409,Barcelos,Rural,1525.0,69.3,1057.0
1300409,Barcelos,Urbana,2625.0,24.7,648.0
1300508,Barreirinha,Rural,3038.0,43.1,1309.0
1300508,Barreirinha,Urbana,3743.0,11.6,434.0
1300607,Benjamin Constant,Rural,1600.0,46.7,747.0
1300607,Benjamin Constant,Urbana,6131.0,12.1,742.0
1300631,Beruri,Rural,1815.0,62.4,1133.0
1300631,Beruri,Urbana,2703.0,19.8,535.0
1300680,Boa Vista do Ramos,Rural,2189.0,44.6,976.0
1300680,Boa Vista do Ramos,Urbana,2398.0,16.4,393.0
1300706,Boca do Acre,Rural,3781.0,56.1,2121.0
1300706,Boca do Acre,Urbana,6286.0,15.6,981.0
1300805,Borba,Rural,2755.0,44.2,1218.0
1300805,Borba,Urbana,5115.0,11.4,583.0
1300839,Caapiranga,Rural,1440.0,49.3,710.0
1300839,Caapiranga,Urbana,1524.0,13.1,200.0
1300904,Canutama,Rural,2046.0,44.1,902.0
1300904,Canutama,Urbana,2470.0,15.9,393.0
1301001,Carauari,Rural,1415.0,47.4,671.0
1301001,Carauari,Urbana,5815.0,15.8,919.0
